comparison,scenario,regime,seed_index,metric,left_value,right_value,delta
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,1,risk_adjusted_pnl,-0.788907086343,-0.787025393894,-0.001881692449
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,1,maximum_drawdown,5167.33140555,4974.46410996,192.86729559
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,1,inventory_variance,447.759356,396.0375,51.721856
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,1,pre_liquidation_inventory,30,20,10
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,1,final_inventory,30,20,10
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,1,maker_fills,43,42,1
avellaneda_stoikov_minus_naive,increased_execution_intensity_2x,trending,1,market_maker_filled_quantity,430,420,10
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,0,fill_rate,0.1021,0.1021,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,0,gross_spread_capture,4767.85896401,5288.85896401,-521
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,0,inventory_pnl,-15511.4876179,-15511.4876179,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,0,adverse_selection_cost,709.366895145,645.002583033,64.364312112
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,0,fee_pnl,20.42,20.42,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,0,net_pnl_after_fees,-10723.2086539,-10202.2086539,-521
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,0,terminal_liquidation_cost,0,0,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,0,terminal_inventory_penalty,0,0,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,0,risk_adjusted_pnl,-0.785110264279,-0.763740132454,-0.021370131825
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,0,maximum_drawdown,13658.2199237,13358.2199237,300
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,0,inventory_variance,1284.698959,1284.698959,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,0,pre_liquidation_inventory,-99,-99,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,0,final_inventory,-99,-99,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,0,maker_fills,104,104,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,0,market_maker_filled_quantity,1021,1021,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,1,fill_rate,0.08,0.08,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,1,gross_spread_capture,3852.60180237,4242.60180237,-390
