scenario,flow_type,strategy_name,regime,seed,seed_index,fill_rate,gross_spread_capture,inventory_pnl,adverse_selection_cost,fee_pnl,net_pnl_after_fees,terminal_liquidation_cost,terminal_inventory_penalty,risk_adjusted_pnl,maximum_drawdown,inventory_variance,pre_liquidation_inventory,final_inventory,maker_fills,market_maker_filled_quantity
as_risk_aversion_high,hand-chosen,naive symmetric,high volatility,3002,0,0.484,40864.5820968,-84434.3555432,7666.55032339,96.8,-43472.9734464,0,0,-0.54795994039,79336.0430973,169947.466089,426,426,521,4840
as_risk_aversion_high,hand-chosen,naive symmetric,high volatility,4002,1,0.5425,33039.8950084,-14607.6879095,10927.5545928,108.5,18540.7070988,0,0,0.636751268312,29117.6602569,48169.90711,-423,-423,592,5425
as_risk_aversion_high,hand-chosen,naive symmetric,trending,3003,0,0.5311,41993.1360019,69089.8291557,2174.05730488,106.22,111189.185158,0,0,5.46589585357,20342.3534104,361750.214576,1827,1827,567,5311
as_risk_aversion_high,hand-chosen,naive symmetric,trending,4003,1,0.5036,44942.9886653,53507.1150398,2478.70778278,100.72,98550.8237051,0,0,3.01034544738,32737.3802866,404409.75585,1918,1918,538,5036
as_risk_aversion_high,hand-chosen,avellaneda stoikov,low volatility,3001,0,0.7255,32572.6463049,-3818.23235197,676.427196322,145.1,28899.5139529,0,0,8.94645539948,3230.27530597,12554.8010624,-265,-265,781,7255
as_risk_aversion_high,hand-chosen,avellaneda stoikov,low volatility,4001,1,0.7426,33283.4865856,-1431.41049498,414.212683267,148.52,32000.5960906,0,0,18.4680639248,1732.75315815,7886.838079,190,190,798,7426
as_risk_aversion_high,hand-chosen,avellaneda stoikov,high volatility,3002,0,0.4828,38686.3099363,-88380.4705263,8086.20631991,96.56,-49597.60059,0,0,-0.497632842952,99667.0563296,190600.468384,572,572,520,4828
as_risk_aversion_high,hand-chosen,avellaneda stoikov,high volatility,4002,1,0.5478,30997.6058951,-10486.9358311,11819.4634544,109.56,20620.230064,0,0,0.704323524235,29276.6453973,51091.0997534,-456,-456,598,5478
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,3003,0,0.5341,40228.2043722,66392.32786,2720.45090807,106.82,106727.352232,0,0,5.34112157547,19982.1986308,348640.365196,1797,1797,570,5341
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,4003,1,0.5056,43377.5278289,53780.5758762,2940.38157691,101.12,97259.2237051,0,0,2.9699848615,32747.3802866,403484.272042,1918,1918,540,5056
inventory_cap_5000,hand-chosen,naive symmetric,low volatility,3001,0,0.7255,29091.2323519,-3818.23235197,458.945761404,123.9,25396.9,7325.41395295,132.5,3.37980382035,7475.10842133,12558.3744379,-265,0,781,7520
