scenario,flow_type,strategy_name,regime,metric,sample_count,mean,stddev,median,p05,p95,ci95_low,ci95_high
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,low volatility,net_pnl_after_fees,10,4603.87172568,783.487344547,4549.84619277,3603.51643006,6124.9023752,4118.26123845,5089.48221291
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,low volatility,terminal_liquidation_cost,10,0,0,0,0,0,0,0
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,low volatility,terminal_inventory_penalty,10,0,0,0,0,0,0,0
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,low volatility,risk_adjusted_pnl,10,8.70804560817,6.00493114826,6.430613811,1.54296103562,21.2094209317,4.98615072246,12.4299404939
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,low volatility,maximum_drawdown,10,795.488068778,630.971240205,721.760569387,240.719174478,2487.4104303,404.408042384,1186.56809517
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,low volatility,inventory_mean,10,-26.51464,50.940058696,-31.9116,-131.848,49.316,-58.0876154859,5.05833548593
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,low volatility,inventory_variance,10,1501.74636371,1723.40001822,1080.21229728,232.583344,6200.424896,433.571965789,2569.92076164
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,low volatility,max_abs_inventory,10,112,54.3241300999,100,60,250,78.3295553275,145.670444673
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,low volatility,pre_liquidation_inventory,10,-48.9,85.6173009515,-50,-200,100,-101.966152912,4.16615291209
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,low volatility,final_inventory,10,-48.9,85.6173009515,-50,-200,100,-101.966152912,4.16615291209
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,low volatility,maker_fills,10,97.6,7.29078566106,99,86,110,93.0811242303,102.11887577
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,low volatility,market_maker_filled_quantity,10,974.3,74.177040473,988.5,860,1100,928.324593995,1020.27540601
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,trending,fill_rate,10,0.18684,0.0204836628669,0.191,0.1522,0.214,0.174144094221,0.199535905779
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,trending,gross_spread_capture,10,4102.72960432,530.776752214,4292.43012194,3264.92365039,4738.27579681,3773.75076497,4431.70844367
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,trending,inventory_pnl,10,-2294.07019122,2666.54484472,-2305.18914877,-5898.53899604,1030.75730477,-3946.81180891,-641.32857353
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,trending,adverse_selection_cost,10,728.452098357,236.698542529,702.965793652,292.565707423,1052.70396654,581.744821763,875.159374951
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,trending,fee_pnl,10,18.684,2.04836628669,19.1,15.22,21.4,17.4144094221,19.9535905779
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,trending,net_pnl_after_fees,10,1827.34341309,2489.37473707,1674.3650013,-1432.26153828,5593.10116697,284.412965801,3370.27386038
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,trending,terminal_liquidation_cost,10,0,0,0,0,0,0,0
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,trending,terminal_inventory_penalty,10,0,0,0,0,0,0,0
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,trending,risk_adjusted_pnl,10,1.99768557678,2.76837143461,0.635740160238,-0.36488876763,7.77959443464,0.281831184812,3.71353996875
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,trending,maximum_drawdown,10,2600.80351034,1727.55830171,2223.01238199,655.926156343,4987.26135831,1530.05178161,3671.55523907
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,trending,inventory_mean,10,-15.34756,52.5861874009,-16.212,-86.1648,61.064,-47.9408166277,17.2456966277
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,trending,inventory_variance,10,1301.84668722,609.902479399,1100.401584,582.629824,2447.03350016,923.825214061,1679.86816037
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,trending,max_abs_inventory,10,111.8,25.231373768,110,70,149,96.161432518,127.438567482
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,trending,pre_liquidation_inventory,10,-7.8,96.1327785467,-35,-129,120,-67.3837134496,51.7837134496
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,trending,final_inventory,10,-7.8,96.1327785467,-35,-129,120,-67.3837134496,51.7837134496
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,trending,maker_fills,10,93.9,10.3650052259,96,77,107,87.4757032032,100.324296797
increased_execution_intensity_10x,itch-calibrated,avellaneda stoikov,trending,market_maker_filled_quantity,10,934.2,102.418314334,955,761,1070,870.720471107,997.679528893
increased_execution_intensity_10x,itch-calibrated,naive symmetric,high volatility,fill_rate,10,0.18066,0.021072372645,0.1733,0.154,0.228,0.167599208121,0.193720791879
increased_execution_intensity_10x,itch-calibrated,naive symmetric,high volatility,gross_spread_capture,10,4738.60976053,547.619332342,4697.60677124,3979.88811805,5741.68129672,4399.19178186,5078.02773919
increased_execution_intensity_10x,itch-calibrated,naive symmetric,high volatility,inventory_pnl,10,-1701.6485762,4980.39035079,-71.058002556,-13076.8281378,4298.32856487,-4788.52649666,1385.22934426
increased_execution_intensity_10x,itch-calibrated,naive symmetric,high volatility,adverse_selection_cost,10,1975.4715641,450.042915688,1938.63600733,1200.59516944,2688.31894087,1696.53207506,2254.41105315
increased_execution_intensity_10x,itch-calibrated,naive symmetric,high volatility,fee_pnl,10,18.066,2.1072372645,17.33,15.4,22.8,16.7599208121,19.3720791879
increased_execution_intensity_10x,itch-calibrated,naive symmetric,high volatility,net_pnl_after_fees,10,3055.02718432,4972.30236668,4432.53661876,-8744.55911526,8939.05563398,-26.8377516537,6136.8921203
increased_execution_intensity_10x,itch-calibrated,naive symmetric,high volatility,terminal_liquidation_cost,10,0,0,0,0,0,0,0
increased_execution_intensity_10x,itch-calibrated,naive symmetric,high volatility,terminal_inventory_penalty,10,0,0,0,0,0,0,0
increased_execution_intensity_10x,itch-calibrated,naive symmetric,high volatility,risk_adjusted_pnl,10,1.47932517115,2.17945977719,0.940171042674,-0.566787652143,7.11469471766,0.128482006086,2.83016833622
increased_execution_intensity_10x,itch-calibrated,naive symmetric,high volatility,maximum_drawdown,10,5723.27360079,4212.80184149,4513.54086589,824.884303951,15428.280913,3112.15196737,8334.3952342
increased_execution_intensity_10x,itch-calibrated,naive symmetric,high volatility,inventory_mean,10,11.29256,55.8320191123,5.552,-82.152,111.392,-23.3124839652,45.8976039652
increased_execution_intensity_10x,itch-calibrated,naive symmetric,high volatility,inventory_variance,10,1080.4854863,597.076801553,1061.32852352,400.620096,2282.728896,710.413450636,1450.55752197
increased_execution_intensity_10x,itch-calibrated,naive symmetric,high volatility,max_abs_inventory,10,102.7,43.0324167215,90,50,180,76.028231788,129.371768212
increased_execution_intensity_10x,itch-calibrated,naive symmetric,high volatility,pre_liquidation_inventory,10,7.7,65.9175410814,10,-110,100,-33.1561152447,48.5561152447
increased_execution_intensity_10x,itch-calibrated,naive symmetric,high volatility,final_inventory,10,7.7,65.9175410814,10,-110,100,-33.1561152447,48.5561152447
increased_execution_intensity_10x,itch-calibrated,naive symmetric,high volatility,maker_fills,10,90.5,10.501322668,87,77,114,83.9912127772,97.0087872228
increased_execution_intensity_10x,itch-calibrated,naive symmetric,high volatility,market_maker_filled_quantity,10,903.3,105.361863225,866.5,770,1140,837.996040603,968.603959397
increased_execution_intensity_10x,itch-calibrated,naive symmetric,low volatility,fill_rate,10,0.19446,0.0145834152379,0.1967,0.172,0.22,0.18542110559,0.20349889441
